Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
20-Dec-24,EQ,"1,782.20","1,797.55","1,767.05","1,793.50","1,777.10","1,771.50","1,778.49","1,880.00","1,363.55","1,28,46,174","22,84,68,37,948.65","2,48,859"
19-Dec-24,EQ,"1,799.60","1,801.10","1,779.00","1,810.70","1,794.00","1,793.50","1,791.37","1,880.00","1,363.55","1,26,90,385","22,73,31,48,296.10","2,26,833"
18-Dec-24,EQ,"1,829.85","1,836.00","1,807.15","1,833.25","1,812.00","1,810.70","1,817.52","1,880.00","1,363.55","1,17,11,156","21,28,52,73,596.85","2,35,785"
17-Dec-24,EQ,"1,856.35","1,862.35","1,826.50","1,865.20","1,829.90","1,833.25","1,840.34","1,880.00","1,363.55","1,05,39,766","19,39,67,85,094.90","2,73,231"
16-Dec-24,EQ,"1,865.10","1,869.95","1,855.25","1,871.75","1,862.00","1,865.20","1,863.37","1,880.00","1,363.55","65,53,541","12,21,17,02,096.00","1,77,602"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date ,Difference,,,,,,,,,,,,
20-Dec-24,0.00,,,,,,,,,,,,
19-Dec-24,16.90,,,,,,,,,,,,
18-Dec-24,18.00,,,,,,,,,,,,
17-Dec-24,17.90,,,,,,,,,,,,
16-Dec-24,32.10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date ,ltp ,,,,,,,,,,,,
20-Dec-24,"1,777.10",,,,,,,,,,,,
19-Dec-24,"1,794.00",,,,,,,,,,,,
18-Dec-24,"1,812.00",,,,,,,,,,,,
17-Dec-24,"1,829.90",,,,,,,,,,,,
16-Dec-24,"1,862.00",,,,,,,,,,,,
